,yandm,MktRF,smb,hml,rf
346,195505,0.93,-0.28,-0.96,0.14
347,195506,6.55,-4.65,1.84,0.1
348,195507,1.9,-1.15,0.39,0.1
349,195508,0.21,-0.44,0.72,0.16
350,195509,-0.36,0.28,-0.98,0.16
351,195510,-2.68,1.52,-0.11,0.18
352,195511,7.03,-2.19,0.33,0.17
353,195512,1.49,2.11,-2.31,0.18
354,195601,-3.03,0.41,0.93,0.22
355,195602,3.77,-0.98,-0.39,0.19
356,195603,6.64,-2.11,-0.45,0.15
357,195604,0.28,0.04,-0.22,0.19
358,195605,-5.2,1.46,-1.34,0.23
359,195606,3.48,-1.48,-1.1,0.2
360,195607,4.84,-1.68,-0.01,0.22
361,195608,-3.18,1.91,-0.78,0.17
362,195609,-5.14,1.54,1.76,0.18
363,195610,0.52,-0.11,-0.01,0.25
364,195611,0.36,-0.16,1.76,0.2
365,195612,3.16,-0.04,-2.08,0.24
366,195701,-3.58,3.32,2.79,0.27
367,195702,-2.06,-0.64,-0.79,0.24
368,195703,2.13,0.31,-0.49,0.23
369,195704,4.26,-1.6,-1.43,0.25
370,195705,3.45,-1.02,-2.12,0.26
371,195706,-0.74,0.54,0.03,0.24
372,195707,0.66,-0.76,0.43,0.3
373,195708,-5.11,0.05,-0.41,0.25
374,195709,-5.98,0.08,0.92,0.26
375,195710,-4.32,-2.52,-1.8,0.29
376,195711,2.3,0.4,-2.87,0.28
377,195712,-3.91,-0.98,-1.62,0.24
378,195801,4.66,4.39,4.19,0.28
379,195802,-1.52,0.65,0.33,0.12
380,195803,3.27,0.65,-0.97,0.09
381,195804,3.09,-0.62,1.61,0.08
382,195805,2.31,2.16,-0.26,0.11
383,195806,2.93,-0.19,0.4,0.03
384,195807,4.39,0.48,3.1,0.07
385,195808,1.91,1.18,0.38,0.04
386,195809,4.66,0.13,2.86,0.19
387,195810,2.53,1.08,-1.23,0.18
388,195811,3.01,1.97,-1.2,0.11
389,195812,5.15,-2.03,0.03,0.22
390,195901,0.71,3.02,2.93,0.21
391,195902,0.95,1.46,1.15,0.19
392,195903,0.28,1.49,-0.35,0.22
393,195904,3.66,-0.6,-1.23,0.2
394,195905,1.73,-2.16,1.81,0.22
395,195906,-0.25,0.67,1.31,0.25
396,195907,3.17,-0.3,0.23,0.25
397,195908,-1.39,-0.77,0.42,0.19
398,195909,-4.8,-0.09,0.54,0.31
399,195910,1.28,1.45,-2.06,0.3
400,195911,1.6,1.24,-3.19,0.26
401,195912,2.45,-0.58,-0.06,0.34
402,196001,-6.98,2.08,2.73,0.33
403,196002,1.17,0.51,-1.91,0.29
404,196003,-1.63,-0.48,-2.88,0.35
405,196004,-1.71,0.33,-2.26,0.19
406,196005,3.12,1.22,-3.64,0.27
407,196006,2.08,-0.19,-0.21,0.24
408,196007,-2.37,-0.47,1.96,0.13
409,196008,3.01,0.85,-0.22,0.17
410,196009,-5.99,-1.09,1.6,0.16
411,196010,-0.71,-4.07,2.74,0.22
412,196011,4.69,0.37,-2.43,0.13
413,196012,4.71,-1.53,-0.8,0.16
414,196101,6.2,0.72,3.67,0.19
415,196102,3.57,3.94,-0.65,0.14
416,196103,2.89,3.33,-0.74,0.2
417,196104,0.29,0.07,2.05,0.17
